id,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
01,579,228,101,64,63,16
02,397,104,25,48,31,1
03,1299,768,228,200,340,41
04,540,179,89,38,52,15
05,677,477,147,161,169,60
06,821,311,104,89,118,3
07,581,247,87,54,106,3
08,492,257,14,107,136,3
09,1290,1002,222,375,405,54
10,969,810,307,101,402,44
11,798,677,93,122,462,27
12,469,222,76,65,81,12
