id,buildings,volume,usage_area,apartments,living_are,estimated_costs
01,44,446,220.0,1219,724.0,170161
02,21,117,17.3,595,204.1,53072
03,214,493,193.5,1496,992.1,168337
04,61,405,106.1,1154,827.2,154919
05,167,400,170.0,1071,779.6,136836
06,70,251,73.6,584,462.2,86914
07,53,211,69.5,493,377.7,88440
08,41,118,48.7,333,226.3,47443
09,337,969,302.8,3247,1907.8,358143
10,346,938,224.8,2675,1902.5,343880
11,110,498,119.5,1522,1048.3,183603
12,106,392,146.0,979,772.6,127026
